factor,value,psnr,ssim
clip_limit,2.0,18.885257863903167,0.5162982667177286
clip_limit,4.0,19.029114996914394,0.4941309776478794
clip_limit,8.0,17.757290661015745,0.4592461247679818
sigma,15.0,18.96211332975794,0.49067493870862544
sigma,30.0,19.029114996914394,0.4941309776478794
sigma,80.0,19.06967097989328,0.499184224040462
adaptive_k,0.2,18.66928018038955,0.47377866921480544
adaptive_k,0.35,19.029114996914394,0.4941309776478794
adaptive_k,0.5,18.53206997664335,0.5034311003986339
adaptive_k,0.8,17.307008947524203,0.5043483775703518
